Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-UT CR-PMX PR-25;2;10 6 24 20 2 16 12 30 18 14 4 26 9 27 15 1 11 17 22 28 19 21 13 8 29 3 5 23 7 25 ;2.16069e+06;11 8 25 24 13 12 9 19 15 4 3 20 1 30 10 5 18 6 7 2 28 21 23 22 17 27 16 26 29 14 ;2.01379e+06;34
SL-UT CR-PMX PR-25;3;8 26 24 19 25 6 17 28 7 29 5 21 1 14 9 13 22 23 15 27 16 4 20 18 3 2 11 10 30 12 ;2.09414e+06;22 26 24 29 25 6 17 28 7 19 4 21 1 14 9 13 20 27 12 23 16 5 15 18 3 2 8 10 30 11 ;2.01943e+06;40
SL-UT CR-PMX PR-25;4;7 1 27 15 25 19 5 23 24 21 3 11 17 13 20 8 2 18 16 28 29 9 14 30 4 12 10 22 6 26 ;2.13071e+06;7 27 17 24 30 12 20 8 22 4 3 28 9 10 14 19 5 18 1 6 13 21 23 15 29 2 11 26 16 25 ;1.97603e+06;47
SL-UT CR-PMX PR-25;5;3 27 8 5 15 18 6 22 12 10 17 2 9 14 24 16 25 11 1 23 7 30 29 21 19 4 26 28 13 20 ;2.12665e+06;19 24 6 2 22 30 16 1 21 8 13 10 26 28 4 18 23 29 3 15 11 14 20 12 5 27 7 17 25 9 ;2.00869e+06;41
SL-UT CR-PMX PR-50;1;20 9 28 19 7 21 5 30 23 27 11 29 25 15 10 14 12 1 26 18 2 3 22 6 13 8 24 4 17 16 ;2.12631e+06;29 3 15 11 25 28 16 8 30 13 9 23 12 21 22 5 17 27 14 26 20 7 10 18 2 24 6 1 19 4 ;1.95702e+06;33
SL-UT CR-PMX PR-50;2;24 6 1 3 17 5 18 29 11 25 14 19 30 28 21 27 7 20 16 10 8 26 9 12 15 2 4 22 13 23 ;2.12028e+06;17 20 16 1 4 10 19 24 8 2 29 23 27 25 18 28 14 30 26 15 22 13 12 21 6 9 7 5 11 3 ;2.04516e+06;48
SL-UT CR-PMX PR-50;3;2 8 10 9 28 15 3 30 24 7 29 25 6 26 20 17 14 23 22 4 16 5 1 19 18 13 21 11 27 12 ;2.14538e+06;14 8 29 9 25 15 24 23 12 11 26 4 19 7 17 2 5 10 3 28 16 22 1 18 20 13 6 21 30 27 ;2.00197e+06;36
SL-UT CR-PMX PR-50;4;22 8 26 10 25 28 17 7 20 29 18 6 16 4 24 27 14 23 1 3 11 13 5 2 21 19 30 15 12 9 ;2.12619e+06;14 11 5 17 4 22 18 8 26 7 29 30 2 20 25 13 10 3 28 27 9 1 23 6 16 15 19 21 12 24 ;2.01004e+06;23
SL-UT CR-PMX PR-50;5;9 6 11 15 14 3 17 26 28 10 23 27 29 22 19 13 12 20 30 24 2 8 21 16 25 4 1 18 7 5 ;2.12082e+06;18 7 16 4 23 24 13 2 14 30 1 10 29 11 8 28 27 17 5 22 15 19 25 9 6 3 21 20 26 12 ;1.95304e+06;30
SL-UT-C CR-OX PR-16;1;4 21 28 22 12 26 3 15 10 25 30 27 20 1 2 18 17 5 6 11 23 7 16 9 24 14 13 8 19 29 ;2.1146e+06;24 6 13 22 4 1 30 23 2 10 11 26 21 29 9 28 27 8 20 17 7 14 3 18 5 16 12 15 19 25 ;2.04351e+06;55
SL-UT-C CR-OX PR-16;2;15 5 30 18 21 7 17 20 11 27 23 16 28 1 2 3 25 8 24 19 14 22 26 13 12 9 10 29 4 6 ;2.11334e+06;11 6 3 26 21 24 17 25 4 1 12 14 27 8 20 22 18 15 5 28 19 2 29 30 23 16 13 7 10 9 ;2.03977e+06;95
SL-UT-C CR-OX PR-16;3;9 12 18 1 23 16 29 4 5 19 10 14 7 20 26 6 15 13 30 28 3 2 21 22 27 11 24 8 17 25 ;2.12796e+06;6 12 27 4 15 19 11 17 26 9 13 14 28 24 30 29 16 21 8 3 1 23 2 20 22 10 18 25 7 5 ;2.03926e+06;40
SL-UT-C CR-OX PR-16;4;8 1 26 23 4 5 13 19 22 17 30 15 29 11 10 7 28 3 14 12 6 27 25 18 20 9 21 24 2 16 ;2.13596e+06;18 29 3 16 7 13 12 22 27 4 19 23 20 10 8 11 21 6 14 26 15 28 25 30 17 9 5 1 24 2 ;2.02514e+06;62
