Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance
SL-UT PS-20 PR-6 SV-50 GI-0.5,1,9 1 7 12 6 11 3 8 4 10 5 2 ,1798,8 3 12 11 2 5 7 6 10 1 4 9 ,1682
SL-UT PS-20 PR-20 SV-10 GI-0.4,2,4 9 7 5 10 6 1 3 2 11 12 8 ,1772,8 2 10 11 12 5 7 6 3 1 4 9 ,1682
SL-UT PS-20 PR-20 SV-100 GI-0.5,2,10 8 3 4 12 5 11 2 1 7 6 9 ,1816,9 4 7 6 12 11 2 5 1 10 3 8 ,1682
SL-UT PS-50 PR-16 SV-50 GI-0.5,1,2 8 10 6 3 5 12 7 11 9 1 4 ,1794,8 2 10 6 12 5 11 7 3 1 4 9 ,1682
SL-UT PS-50 PR-25 SV-100 GI-0.5,3,4 1 8 9 7 11 6 2 12 5 10 3 ,1738,8 2 10 6 12 5 11 7 3 1 4 9 ,1682
SL-UT PS-50 PR-50 SV-50 GI-0.5,3,3 5 2 1 8 11 7 10 12 6 9 4 ,1766,8 3 5 11 12 2 7 1 10 6 4 9 ,1682
SL-UT PS-50 PR-50 SV-100 GI-0.3,1,6 2 10 3 12 8 7 5 11 1 4 9 ,1750,9 4 5 7 12 2 11 10 1 6 3 8 ,1682
SL-UT PS-50 PR-50 SV-100 GI-0.4,2,9 12 10 4 11 6 5 8 2 7 1 3 ,1808,9 4 5 11 12 7 6 10 1 2 8 3 ,1682
SL-UTC PS-20 PR-6 SV-50 GI-0.4,2,4 1 7 9 2 3 12 10 6 8 5 11 ,1810,3 10 5 2 11 12 6 4 8 7 1 9 ,1682
SL-UTC PS-20 PR-20 SV-50 GI-0.4,3,2 4 12 9 7 5 6 11 1 10 3 8 ,1778,9 4 7 1 12 5 6 11 8 2 10 3 ,1682
SL-UTC PS-20 PR-20 SV-50 GI-0.5,3,9 8 7 1 2 4 12 11 6 10 5 3 ,1772,8 3 5 11 12 2 7 1 10 6 4 9 ,1682
